mass    ggH          qqH         WH          ZH          ttH       BR(WW)      BR(ZZ)      BR(bb)      BR(tautau)  BR(gg)
126.7  19.009120    1.536055    0.665510    0.377467    0.124994   0.244486   0.030914   0.549892   0.060848   0.002290
126.8  18.978880    1.534368    0.663731    0.376506    0.124691   0.246310   0.031171   0.548316   0.060666   0.002290
126.9  18.949090    1.532654    0.661961    0.375550    0.124392   0.248156   0.031432   0.546693   0.060483   0.002290
127.0  18.920000    1.531000    0.660200    0.374600    0.124100   0.250000   0.031700   0.545000   0.060300   0.002290
127.5  18.780000    1.524000	0.651500    0.369900	0.122950  0.25900000  0.03310000  0.53600000  0.05940000  0.00229000
128.0  18.670000    1.517000	0.642900    0.365200	0.121500  0.26800000  0.03440000  0.52800000  0.05850000  0.00228000
128.5  18.530000    1.511000	0.634400    0.360600	0.120050  0.27700000  0.03580000  0.51900000  0.05760000  0.00228000
129.0  18.390000    1.504000	0.626000    0.356100	0.118600  0.28600000  0.03720000  0.51100000  0.05670000  0.00227000
129.5  18.210000    1.497000	0.617700    0.351600	0.117150  0.29500000  0.03870000  0.50200000  0.05580000  0.00227000
130.0  18.110000    1.490000	0.609500    0.347300	0.115700  0.30500000  0.04010000  0.49300000  0.05480000  0.00226000
130.5  17.980000    1.483000	0.601500    0.343000	0.114440  0.31400000  0.04160000  0.48400000  0.05390000  0.00225000
131.0  17.840000    1.477000	0.593600    0.338800	0.113180  0.32400000  0.04300000  0.47600000  0.05290000  0.00224000
131.5  17.680000    1.470000	0.585900    0.334700	0.111920  0.33300000  0.04450000  0.46700000  0.05200000  0.00223000
132.0  17.550000    1.463000	0.578300    0.330600	0.110660  0.34300000  0.04600000  0.45800000  0.05100000  0.00222000
132.5  17.420000    1.458000	0.570800    0.326600	0.109400  0.35300000  0.04750000  0.44900000  0.05010000  0.00221000
133.0  17.290000    1.451000	0.563400    0.322600	0.108140  0.36300000  0.04900000  0.44000000  0.04910000  0.00219000
133.5  17.190000    1.444000	0.556200    0.318800	0.106880  0.37300000  0.05050000  0.43100000  0.04810000  0.00218000
134.0  17.070000    1.439000	0.549100    0.314900	0.105620  0.38300000  0.05200000  0.42100000  0.04710000  0.00217000
134.5  16.920000    1.432000	0.542000    0.311200	0.104360  0.39200000  0.05350000  0.41200000  0.04610000  0.00215000
135.0  16.820000    1.425000	0.535100    0.307400	0.103100  0.40300000  0.05500000  0.40300000  0.04520000  0.00213000
135.5  16.700000    1.419000	0.528300    0.303800	0.102000  0.41300000  0.05650000  0.39400000  0.04420000  0.00212000
136.0  16.600000    1.413000	0.521500    0.300100	0.100900  0.42300000  0.05800000  0.38500000  0.04320000  0.00210000
136.5  16.460000    1.407000	0.514900    0.296600	0.099800  0.43300000  0.05940000  0.37600000  0.04220000  0.00208000
137.0  16.360000    1.401000	0.508400    0.293000	0.098700  0.44300000  0.06090000  0.36700000  0.04120000  0.00206000
137.5  16.240000    1.395000	0.502000    0.289500	0.097600  0.45300000  0.06230000  0.35800000  0.04020000  0.00204000
138.0  16.130000    1.388000	0.495600    0.286100	0.096500  0.46300000  0.06370000  0.34900000  0.03930000  0.00202000
138.5  16.010000    1.382000	0.489400    0.282700	0.095400  0.47300000  0.06510000  0.34000000  0.03830000  0.00200000
139.0  15.890000    1.376000	0.483300    0.279300	0.094300  0.48300000  0.06640000  0.33100000  0.03730000  0.00198000
139.5  15.780000    1.370000	0.477200    0.276000	0.093200  0.49300000  0.06770000  0.32200000  0.03630000  0.00196000
140.0  15.670000    1.365000	0.471300    0.272800	0.092100  0.50300000  0.06900000  0.31400000  0.03540000  0.00193000
141.0  15.430000    1.352000	0.459700    0.266400	0.090180  0.52300000  0.07150000  0.29600000  0.03350000  0.00189000
142.0  15.200000    1.341000	0.448400    0.260100	0.088260  0.54300000  0.07380000  0.27900000  0.03160000  0.00184000
143.0  14.980000    1.329000	0.437500    0.254100	0.086340  0.56300000  0.07590000  0.26300000  0.02970000  0.00178000
144.0  14.790000    1.317000	0.426800    0.248200	0.084420  0.58300000  0.07780000  0.24600000  0.02790000  0.00173000
145.0  14.590000    1.306000	0.416400    0.242400	0.082500  0.60200000  0.07940000  0.23000000  0.02610000  0.00167000
146.0  14.400000    1.295000	0.406200    0.236800	0.080800  0.62100000  0.08080000  0.21500000  0.02440000  0.00162000
147.0  14.310000    1.284000	0.396300    0.231400	0.079100  0.64000000  0.08180000  0.20000000  0.02270000  0.00156000
148.0  14.110000    1.272000	0.386700    0.226100	0.077400  0.66000000  0.08250000  0.18500000  0.02110000  0.00149000
149.0  13.920000    1.261000	0.377300    0.220900	0.075700  0.67900000  0.08280000  0.17000000  0.01940000  0.00143000
150.0  13.650000    1.251000	0.368100    0.215900	0.074000  0.69800000  0.08270000  0.15600000  0.01780000  0.00136000
151.0  13.330000    1.240000	0.359300    0.211000	0.072520  0.71700000  0.08210000  0.14300000  0.01630000  0.00130000
